epoch,epoch_index,train_ce,val_ce,train_seconds,val_seconds,epoch_seconds,train_tokens_per_sec,val_tokens_per_sec,grad_norm_mean,grad_norm_max,lr,peak_gpu_memory_allocated_bytes,peak_gpu_memory_reserved_bytes,nan_detected
1,0,1.5118057939943788,1.0431043363893469,267.682665934,2.0373728129999904,269.711978,308355.08796207013,4057052.272052694,0.3446233003616397,1.4374090811834899,0.0002939147478281975,465645568,503316480,False
2,1,1.0775008797349794,0.9534726401622988,267.905874487,2.1860083209999175,270.091899,308098.17872808635,3781196.9518117458,0.38147615631065573,0.46369744322913875,0.000273535034294694,465645568,503316480,False
3,2,1.0173435675608067,0.9183389272160526,268.802182216,2.464853240000025,271.266355,307070.84042075486,3353436.1664469386,0.3937397297598572,0.48530723489036637,0.00024082125210167458,465645568,503316480,False
4,3,0.9887295810061345,0.8985053412505491,278.56043090799994,2.2314243040000292,280.775522,296313.8437535692,3704238.582139191,0.40231513419123566,0.5074961339951314,0.000199039632873106,465645568,503316480,False
5,4,0.9710307021009018,0.8854493341077307,262.5211809109999,2.876871277000191,265.38298,314417.7232235719,2873165.74296607,0.4102104519676596,0.5192752135864199,0.00015236176536689134,465645568,503316480,False
6,5,0.9591014228580773,0.8767458222902448,264.77611465099994,2.8582239909999316,267.631363,311740.0227312697,2891910.510172538,0.41819634876249906,0.5003386208559334,0.000105448092881472,465645568,503316480,False
7,6,0.9507136431512685,0.870825913072932,266.8227640530001,1.9190470640000967,268.736211,309348.8379559867,4307204.421954491,0.42601477603412197,0.5107654160733051,6.298260211591564e-05,465645568,503316480,False
8,7,0.9451023859843322,0.8661954785125816,265.55222859800006,2.1654635699997016,267.704664,310828.91842325,3817070.910133639,0.43134799423800135,0.5193842682043328,2.920516139383441e-05,465645568,503316480,False
9,8,0.9418605734143478,0.864607528959677,266.482307021,1.9055120800003351,268.372388,309744.0611451002,4337798.792647143,0.43395328087951546,0.5089327590392749,7.488200855289095e-06,465645568,503316480,False
10,9,0.9404142538426461,0.8642926901372148,272.40376113,1.8497398060003434,274.250487,303010.91166141635,4468589.567671587,0.43400860833560356,0.5321497770891689,0.0,465645568,503316480,False
