model,metric,value,notes
baseline,accuracy,0.9517894736842105,test set
baseline,precision_macro,0.9517914760841045,test set
baseline,recall_macro,0.9517894736842105,test set
baseline,f1_macro,0.9517894202652857,test set
baseline,precision_micro,0.9517894736842105,test set
baseline,recall_micro,0.9517894736842105,test set
baseline,f1_micro,0.9517894736842105,test set
baseline,precision_weighted,0.9517914760841045,test set
baseline,recall_weighted,0.9517894736842105,test set
baseline,f1_weighted,0.9517894202652857,test set
baseline,tn,18064,test set
baseline,fp,936,test set
baseline,fn,896,test set
baseline,tp,18104,test set
baseline,roc_auc,0.9889979030470913,test set
baseline,pr_auc,0.9888848763206298,test set
baseline,mcc,0.9035809497660964,test set
baseline,brier_score,0.037630461156368256,test set
baseline,expected_calibration_error,0.014860085928126425,test set
baseline,accuracy_ci95_lower,0.9496315789473684,test set
baseline,accuracy_ci95_upper,0.953896052631579,test set
baseline,macro_f1_ci95_lower,0.9496315719955314,test set
baseline,macro_f1_ci95_upper,0.9538959656227801,test set
baseline,mcc_ci95_lower,0.8992742808288788,test set
baseline,mcc_ci95_upper,0.9078053380718254,test set
baseline,parameter_count,8169489,test set
baseline,training_time_s,167.3586333000003,test set
baseline,train_examples_per_sec,12045.987471624487,test set
baseline,inference_examples_per_sec,86703.05913465619,test set
baseline,peak_gpu_memory_bytes,605126656,test set
baseline,peak_host_rss_bytes,3934740480,test set
baseline,slice_macro_f1[all],0.9517894202652857,n=38000
baseline,slice_error_rate[all],0.048210526315789475,n=38000
baseline,slice_macro_f1[raw_length_short(<= 65 words)],0.9487771872742303,n=12776
baseline,slice_error_rate[raw_length_short(<= 65 words)],0.04970256731371321,n=12776
baseline,slice_macro_f1[raw_length_medium(65-142)],0.952880693890229,n=12649
baseline,slice_error_rate[raw_length_medium(65-142)],0.04711834927662266,n=12649
baseline,slice_macro_f1[raw_length_long(> 142 words)],0.9506721448336828,n=12575
baseline,slice_error_rate[raw_length_long(> 142 words)],0.04779324055666004,n=12575
baseline,slice_macro_f1[contains_negation],0.9493627765924075,n=28526
baseline,slice_error_rate[contains_negation],0.04911308981280236,n=28526
baseline,slice_macro_f1[contains_contrast_word],0.9466835514203262,n=22551
baseline,slice_error_rate[contains_contrast_word],0.05281362245576693,n=22551
baseline,slice_macro_f1[truncated],0.9303261118888863,n=1694
baseline,slice_error_rate[truncated],0.06139315230224321,n=1694
baseline,slice_macro_f1[high_unk_rate(>10%)],0.8441558441558441,n=231
baseline,slice_error_rate[high_unk_rate(>10%)],0.13852813852813853,n=231
baseline,hardware,NVIDIA GeForce RTX 5090,Intel(R) Core(TM) Ultra 9 285K
experimental_1,accuracy,0.9531052631578948,test set
experimental_1,precision_macro,0.9531137028712967,test set
experimental_1,recall_macro,0.9531052631578947,test set
experimental_1,f1_macro,0.9531050447910812,test set
experimental_1,precision_micro,0.9531052631578948,test set
experimental_1,recall_micro,0.9531052631578948,test set
experimental_1,f1_micro,0.9531052631578948,test set
experimental_1,precision_weighted,0.9531137028712968,test set
experimental_1,recall_weighted,0.9531052631578948,test set
experimental_1,f1_weighted,0.9531050447910813,test set
experimental_1,tn,18150,test set
experimental_1,fp,850,test set
experimental_1,fn,932,test set
experimental_1,tp,18068,test set
experimental_1,roc_auc,0.9900866689750694,test set
experimental_1,pr_auc,0.9901635418036515,test set
experimental_1,mcc,0.9062189659898915,test set
