model,metric,value,notes
baseline,accuracy,,
baseline,precision_macro,,
baseline,recall_macro,,
baseline,f1_macro,,
baseline,precision_micro,,
baseline,recall_micro,,
baseline,f1_micro,,
baseline,precision_weighted,,
baseline,recall_weighted,,
baseline,f1_weighted,,
baseline,roc_auc,,
baseline,pr_auc,,
baseline,mcc,,
baseline,brier_score,,
baseline,expected_calibration_error,,
baseline,parameter_count,,
baseline,training_time,,
baseline,examples_per_sec,,
baseline,peak_memory_usage,,
experimental_1,accuracy,,
experimental_2,accuracy,,
