direction,metric,value,notes
A2B,FID,,
B2A,FID,,
A2B,KID,,
B2A,KID,,
A2B,generative_precision,,
A2B,generative_recall,,
B2A,generative_precision,,
B2A,generative_recall,,
A2B,cycle_reconstruction_L1,,
B2A,cycle_reconstruction_L1,,
A2B,LPIPS,,
B2A,LPIPS,,
A2B,content_preservation_cosine_similarity,,
B2A,content_preservation_cosine_similarity,,
overall,generator_loss,,
overall,discriminator_loss,,
overall,cycle_consistency_loss,,
overall,identity_loss,,
overall,gradient_norm,,
overall,nan_count,,
overall,human_audit_score,,
overall,inter_rater_agreement,,
overall,parameter_count,,
overall,training_time,,
overall,images_per_sec,,
overall,peak_memory_usage,,
overall,kaggle_public_score,,
overall,kaggle_private_score,,
